imdbId,Actors,Directors,Rating,Genre,Release
29606,"['Janet Gaynor', 'Fredric March', 'Adolphe Menjou']","['William A. Wellman', 'Jack Conway']",7.6/10,['Drama'],"27 April 1937 (USA)

"
102687,"['Edith Meeks', 'Larry Maxwell', 'Susan Norman']",['Todd Haynes'],6.5/10,"['Drama', 'Horror', 'Romance']","16 August 1991 (Sweden)

"
100318,"['Melanie Griffith', 'Matthew Modine', 'Michael Keaton']",['John Schlesinger'],6.4/10,['Thriller'],"28 September 1990 (USA)

"
83851,"['Anthony Higgins', 'Janet Suzman', 'Anne-Louise Lambert']",['Peter Greenaway'],7.3/10,"['Comedy', 'Drama', 'History']","30 June 1983 (Netherlands)

"
90366,"['Brian Deacon', 'Eric Deacon', 'Andréa Ferréol']",['Peter Greenaway'],7.5/10,"['Comedy', 'Drama']","25 May 1990 (USA)

"
58625,"['Eiji Okada', 'Kyôko Kishida', 'Hiroko Itô']",['Hiroshi Teshigahara'],8.5/10,"['Drama', 'Thriller']","25 October 1964 (USA)

"
186975,"['Freddie Prinze Jr.', 'Julia Stiles', 'Selma Blair']",['Kris Isacsson'],4.9/10,"['Comedy', 'Drama', 'Romance']","21 January 2000 (USA)

"
16332,"['Buster Keaton', 'Ruth Dwyer', 'T. Roy Barnes']",['Buster Keaton'],8/10,"['Comedy', 'Romance']","15 March 1925 (USA)

"
81748,"['Peter Boyle', 'Bill Murray', 'Bruno Kirby']",['Art Linson'],6.7/10,"['Biography', 'Comedy']","25 April 1980 (USA)

"
120662,"['Ewan McGregor', 'Ashley Judd', 'Patrick Bergin']",['Stephan Elliott'],4.9/10,"['Drama', 'Mystery', 'Thriller']","28 January 2000 (USA)

"
141399,"['Bette Midler', 'Nathan Lane', 'Stockard Channing']",['Andrew Bergman'],5.4/10,"['Biography', 'Comedy', 'Romance']","28 January 2000 (USA)

"
156639,"['Craig Ferguson', 'Chris Langham', 'David Rasche']",['Kevin Allen'],6.3/10,['Comedy'],"28 January 2000 (USA)

"
201840,"['Orgyen Tobgyal', 'Neten Chokling', 'Jamyang Lodro']",['Khyentse Norbu'],6.9/10,"['Comedy', 'Sport']","20 April 2000 (Australia)

"
104187,"['Sean Astin', 'Brendan Fraser', 'Pauly Shore']",['Les Mayfield'],5.7/10,['Comedy'],"22 May 1992 (USA)

"
76095,"['Richard Dreyfuss', 'Marsha Mason', 'Quinn Cummings']",['Herbert Ross'],7.4/10,"['Comedy', 'Drama', 'Romance']","30 November 1977 (USA)

"
58604,"['Sergio Corrieri', 'Salvador Wood', 'José Gallardo']",['Mikhail Kalatozov'],8/10,"['Drama', 'Music', 'War']","December 1995 (USA)

"
104797,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo']",['Spike Lee'],7.7/10,"['Biography', 'Drama', 'History']","18 November 1992 (USA)

"
105417,"['Whoopi Goldberg', 'Maggie Smith', 'Kathy Najimy']",['Emile Ardolino'],6.3/10,"['Comedy', 'Crime', 'Family']","29 May 1992 (USA)

"
108147,"['Whoopi Goldberg', 'Kathy Najimy', 'Maggie Smith']",['Bill Duke'],5.4/10,"['Comedy', 'Family', 'Music']","10 December 1993 (USA)

"
104389,"['Annabella Sciorra', 'Rebecca De Mornay', 'Matt McCoy']",['Curtis Hanson'],6.6/10,"['Drama', 'Thriller']","10 January 1992 (USA)

"
106246,"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']",['Frank Marshall'],7.1/10,"['Adventure', 'Biography', 'Drama']","15 January 1993 (USA)

"
88683,"['Jane Fonda', 'Anne Bancroft', 'Meg Tilly']",['Norman Jewison'],6.6/10,"['Drama', 'Mystery']","27 September 1985 (USA)

"
105323,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn']",['Martin Brest'],8/10,['Drama'],"8 January 1993 (USA)

"
105793,"['Mike Myers', 'Dana Carvey', 'Rob Lowe']",['Penelope Spheeris'],7/10,"['Comedy', 'Music']","14 February 1992 (USA)

"
108525,"['Mike Myers', 'Dana Carvey', 'Christopher Walken']",['Stephen Surjik'],6.1/10,"['Comedy', 'Music']","10 December 1993 (USA)

"
104694,"['Tom Hanks', 'Geena Davis', 'Lori Petty']",['Penny Marshall'],7.2/10,"['Comedy', 'Drama', 'Family']","1 July 1992 (USA)

"
105112,"['Harrison Ford', 'Sean Bean', 'Anne Archer']",['Phillip Noyce'],6.9/10,"['Action', 'Thriller']","5 June 1992 (USA)

"
103855,"['Kevin Costner', 'Whitney Houston', 'Gary Kemp']",['Mick Jackson'],6.2/10,"['Action', 'Drama', 'Music']","25 November 1992 (USA)

"
104070,"['Meryl Streep', 'Bruce Willis', 'Goldie Hawn']",['Robert Zemeckis'],6.5/10,"['Comedy', 'Fantasy', 'Horror']","31 July 1992 (USA)

"
104231,"['Tom Cruise', 'Nicole Kidman', 'Thomas Gibson']",['Ron Howard'],6.5/10,"['Adventure', 'Drama', 'Romance']","22 May 1992 (USA)

"
104454,"['Anthony Hopkins', 'Emma Thompson', 'Vanessa Redgrave']",['James Ivory'],7.5/10,"['Drama', 'Romance']","26 February 1993 (USA)

"
105415,"['Bridget Fonda', 'Campbell Scott', 'Kyra Sedgwick']",['Cameron Crowe'],6.7/10,"['Comedy', 'Drama', 'Romance']","18 September 1992 (USA)

"
105665,"['Sheryl Lee', 'Ray Wise', 'Mädchen Amick']",['David Lynch'],7.2/10,"['Drama', 'Horror', 'Mystery']","28 August 1992 (USA)

"
105812,"['Wesley Snipes', 'Woody Harrelson', 'Rosie Perez']",['Ron Shelton'],6.7/10,"['Comedy', 'Drama', 'Sport']","27 March 1992 (USA)

"
103893,"['Kristy Swanson', 'Donald Sutherland', 'Paul Reubens']",['Fran Rubel Kuzui'],5.6/10,"['Action', 'Comedy', 'Fantasy']","31 July 1992 (USA)

"
104684,"['Yun-Fat Chow', 'Tony Chiu-Wai Leung', 'Teresa Mo']",['John Woo'],7.9/10,"['Action', 'Crime', 'Thriller']","16 April 1992 (Hong Kong)

"
103905,"['Benoît Poelvoorde', 'Jacqueline Poelvoorde-Pappaert', 'Nelly Pappaert']","['Rémy Belvaux', 'André Bonzel']",7.6/10,"['Comedy', 'Crime', 'Drama']","15 January 1993 (USA)

"
104815,"['Carlos Gallardo', 'Consuelo Gómez', 'Jaime de Hoyos']",['Robert Rodriguez'],6.9/10,"['Action', 'Crime', 'Thriller']","26 February 1993 (USA)

"
105477,"['Sylvester Stallone', 'Estelle Getty', 'JoBeth Williams']",['Roger Spottiswoode'],4.1/10,"['Action', 'Comedy', 'Family']","21 February 1992 (USA)

"
104291,"['Mel Gibson', 'Jamie Lee Curtis', 'Elijah Wood']",['Steve Miner'],6.3/10,"['Drama', 'Romance', 'Sci-Fi']","16 December 1992 (USA)

"
104040,"['D.B. Sweeney', 'Moira Kelly', 'Roy Dotrice']",['Paul Michael Glaser'],6.9/10,"['Drama', 'Romance', 'Sport']","27 March 1992 (USA)

"
105046,"['John Malkovich', 'Gary Sinise', 'Ray Walston']",['Gary Sinise'],7.5/10,['Drama'],"2 October 1992 (USA)

"
103759,"['Harvey Keitel', 'Brian McElroy', 'Frank Acciarito']",['Abel Ferrara'],7.1/10,"['Crime', 'Drama', 'Thriller']","17 December 1992 (Argentina)

"
134084,"['David Arquette', 'Neve Campbell', 'Courteney Cox']",['Wes Craven'],5.5/10,"['Horror', 'Mystery']","4 February 2000 (USA)

"
105414,"['Bridget Fonda', 'Jennifer Jason Leigh', 'Steven Weber']",['Barbet Schroeder'],6.3/10,"['Drama', 'Thriller']","14 August 1992 (USA)

"
144117,"['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus']",['Troy Duffy'],7.9/10,"['Action', 'Crime', 'Thriller']","19 November 1999 (Denmark)

"
171356,"['Liam Neeson', 'Sandra Bullock', 'Oliver Platt']",['Eric Blakeney'],5.7/10,"['Comedy', 'Crime', 'Romance']","4 February 2000 (USA)

"
144801,"['Daphne', 'Reanna', 'Gina']","['Susan Muska', 'Gréta Olafsdóttir']",7.3/10,"['Documentary', 'Biography']","23 September 1998 (USA)

"
116102,"['Steven Mackintosh', 'Rupert Graves', 'Miriam Margolyes']",['Richard Spence'],6.7/10,"['Comedy', 'Romance']","12 September 1997 (USA)

"
67848,"['George C. Scott', 'Joanne Woodward', 'Jack Gilford']",['Anthony Harvey'],7/10,"['Mystery', 'Comedy', 'Romance']","21 February 1972 (Sweden)

"
163978,"['Leonardo DiCaprio', 'Daniel York', 'Patcharawan Patarakijjanon']",['Danny Boyle'],6.6/10,"['Adventure', 'Drama', 'Romance']","11 February 2000 (USA)

"
184907,"['Chevy Chase', 'Mark Webber', 'Schuyler Fisk']",['Chris Koch'],5/10,"['Adventure', 'Comedy', 'Family']","11 February 2000 (USA)

"
220099,"['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom']",['Jun Falkenstein'],6.3/10,"['Animation', 'Comedy', 'Drama']","11 February 2000 (USA)

"
209189,"['Minzhi Wei', 'Huike Zhang', 'Zhenda Tian']",['Yimou Zhang'],7.7/10,['Drama'],"30 October 1999 (South Korea)

"
47878,"['Cornel Wilde', 'Richard Conte', 'Jean Wallace']",['Joseph H. Lewis'],7.4/10,"['Crime', 'Drama', 'Film-Noir']","13 February 1955 (USA)

"
74455,"['Neville Brand', 'Mel Ferrer', 'Carolyn Jones']",['Tobe Hooper'],5.5/10,"['Horror', 'Thriller']","13 May 1977 (USA)

"
